Minisector,RAI,VER,Fastest
0,279.29682585396824,277.22684579394996,RAI
1,293.26416699428574,292.96416672,RAI
2,243.36596873272583,252.61612340869567,VER
3,117.0462905127933,120.88980960914284,VER
4,133.09828580854273,130.11323841949675,RAI
5,251.740356531677,245.978000128,RAI
6,263.5928738443832,261.40984853333333,RAI
7,125.56282805663183,124.42608622086675,RAI
8,246.45046701893986,245.42826501839724,RAI
9,258.62162657460317,267.48832198820867,VER
10,211.2895001496018,219.77590217663925,VER
11,141.65242306031746,145.57757922539682,VER
12,206.1546363319728,201.9715318909688,RAI
13,265.5547053724435,263.168610454101,RAI
14,118.93570559854575,126.00702119249848,VER
15,186.92768003555557,184.12453098124465,RAI
16,258.3791346852883,254.31977966843,RAI
17,292.21044683428573,289.72401805714287,RAI
18,307.59727469874684,304.73958336,RAI
19,314.38456334122424,313.0905019469006,RAI
20,315.87060183703704,316.51203703703703,VER
21,175.5575037365185,212.20800345995428,VER
22,142.66315804225783,126.60384343519668,RAI
23,202.62915817929826,210.73158139174234,VER
24,238.89410396312627,226.6188668139213,RAI
25,,263.4166677333333,VER
