Minisector,HAM,RIC,Fastest
0,270.47377429691875,266.662194076822,HAM
1,290.63450017705026,284.44008474009144,HAM
2,297.26386388143413,290.8272654565375,HAM
3,128.80678965603067,136.58839914829437,RIC
4,191.87035274832894,195.52359869671483,RIC
5,258.1865361735447,255.0476464665756,HAM
6,141.59817410238895,148.15123654006732,RIC
7,204.1508444914732,204.78798804162872,RIC
8,260.8786125510762,254.68847674464575,HAM
9,283.3199916485172,277.72121389086305,HAM
10,225.8016133544172,246.24313012098713,RIC
11,177.66451809282793,187.17079810125313,RIC
12,186.57217349130204,191.84096184378174,RIC
13,146.18494521325283,153.11344127051393,RIC
14,179.28385981456222,173.47646871526442,HAM
15,158.62569009785693,160.99550671973412,RIC
16,215.63926596410235,212.77329730909094,HAM
17,232.80235957897594,235.78801563972033,RIC
18,236.51236486268607,236.5996399422952,RIC
19,236.75289857872244,254.68991303914353,RIC
20,144.2684858275267,145.54116274004045,RIC
21,138.15980589514703,145.81990533906605,RIC
22,168.9105459829106,163.18882424503073,HAM
23,150.80359573593495,151.26561737538034,RIC
24,227.63940055470994,217.19883809275288,HAM
25,,252.04166577777778,RIC
