Minisector,PIA,NOR,Fastest
0,293.14651088221575,296.0713980080145,NOR
1,304.0032352685939,308.02173225169594,NOR
2,307.84989511350136,307.0063722745092,PIA
3,187.21917168241347,192.78188646875842,NOR
4,210.29955680737325,209.4452247165088,PIA
5,206.29371939309598,205.6538997483833,PIA
6,263.4265671771518,267.20343376950956,NOR
7,257.8325580939122,253.3282616139231,PIA
8,214.39116911458973,217.62219607566624,NOR
9,211.90685509977828,205.4905370864649,PIA
10,142.091069071722,143.0020658374785,NOR
11,203.67793685933808,199.46167001865484,PIA
12,197.02253884834656,191.48700959500118,PIA
13,252.75282963555557,254.07526382297107,NOR
14,182.8349826847129,177.09069328711973,PIA
15,231.93043520693567,238.64344518224823,NOR
16,281.52753779389326,280.63725092566426,PIA
17,290.1623748407326,294.00882234376417,NOR
18,284.6308645488293,288.9595213293233,NOR
19,271.053720520381,271.96977837272755,NOR
20,271.93724757735635,268.0480369092187,PIA
21,265.95093818512834,266.8469691102096,NOR
22,235.42306064375984,221.74704944309104,PIA
23,206.72607466839617,211.3930501489024,NOR
24,269.36683421164577,272.54499504245456,NOR
