Minisector,RIC,STR,Fastest
0,281.9042565883454,287.07244636168303,STR
1,292.0035716063492,299.2388890122449,STR
2,294.7914583466667,303.2654849797896,STR
3,288.6519923478261,296.7211010590476,STR
4,238.17715939204612,251.79044962133332,STR
5,190.16003868076598,184.95415385899443,RIC
6,255.5243542955706,255.1504223301587,RIC
7,276.00081172640694,276.5197025438963,STR
8,205.60006229274234,199.63555512888888,RIC
9,203.56666286695477,201.99119581198568,RIC
10,139.3751533895216,140.9890658871359,STR
11,245.5433273636594,247.46895009996337,STR
12,270.1558133588458,271.8259469090909,STR
13,217.6724402616362,227.21580689063535,STR
14,258.3906273518278,261.47892365714284,STR
15,217.28670441925922,219.65563925914253,STR
16,183.51563470829223,179.3012639030303,RIC
17,256.5774151136125,255.85502931933377,RIC
18,151.41361287971904,144.34712256507936,RIC
19,210.5594259086221,210.44638897714594,RIC
20,270.14505684813423,274.84697037575756,STR
21,288.589430092921,287.4739467388811,RIC
22,160.05656013061983,160.59925510226,STR
23,181.57997064575568,179.9831646045105,RIC
24,257.27478747911675,260.89857328517286,STR
25,273.8,,RIC
