Minisector,SAI,GAS,Fastest
0,269.80714370975056,265.45119557023065,SAI
1,233.63890205714287,248.8948838233766,GAS
2,114.71435326252565,118.07919362762733,GAS
3,174.7065206469622,163.99719887899337,SAI
4,191.11854165330857,186.16582079238097,SAI
5,189.96671236258206,196.64909825412477,GAS
6,262.8349246623626,262.9821328872727,GAS
7,285.22623161829586,284.7467412123077,SAI
8,227.97832876039848,218.65764091654322,SAI
9,147.31497463927042,140.96102009310025,SAI
10,113.82335475421937,114.26666114449846,GAS
11,150.42245927261837,151.60972551695411,GAS
12,242.9680479531629,240.5834030443064,SAI
13,153.64892314559867,147.1770511040984,SAI
14,142.75827085882014,143.87695051741457,GAS
15,108.01606065441321,107.68205654164042,SAI
16,225.31565438234162,218.02336973328448,SAI
17,226.50026572348293,223.47754070031746,SAI
18,125.22618836838993,129.38751892497098,GAS
19,241.86680804746453,243.55498267917835,GAS
20,277.2494411236774,274.37822967840214,SAI
21,198.87884624646463,189.33088963166514,SAI
22,140.2167011453086,146.0422237679577,GAS
23,210.48708354641272,213.56117427624878,GAS
24,227.23810942217145,227.2980249621305,GAS
25,254.5714304,,SAI
