Minisector,NOR,SAI,Fastest
0,290.3508853439891,299.1504408324208,SAI
1,293.98530756491226,310.7836472049696,SAI
2,161.00748405814335,160.47183679360387,NOR
3,221.66144579079025,216.73517618286732,NOR
4,270.5184090032307,274.07521903157897,SAI
5,287.2739036310777,298.2727580023236,SAI
6,286.01638472982455,311.714625960215,SAI
7,181.13004425851483,183.37313848233487,SAI
8,122.45308413708716,117.59912226769643,NOR
9,246.9465772315315,249.95456365714284,SAI
10,280.34224373998495,293.9494815904435,SAI
11,285.1342593185185,311.2895828740741,SAI
12,150.95077047041738,142.9238349275309,NOR
13,188.2830128056923,185.8139159592775,NOR
14,254.26704814712755,255.38985456279656,SAI
15,195.40233570679882,204.78466963646227,SAI
16,215.1202930348836,213.1007064477208,NOR
17,213.31676643809524,217.74081770557697,SAI
18,244.2339889910008,239.49299233939394,NOR
19,276.71111202215843,270.7119942171429,NOR
20,290.2244708740741,287.881071734996,NOR
21,265.994029911133,266.37604513595613,SAI
22,227.3190850297104,232.0566913354058,SAI
23,202.79321683488993,198.51944442469136,NOR
24,262.0431807259546,257.9010537893063,NOR
25,279.66250026666665,277.829168,NOR
