Minisector,BOT,PER,Fastest
0,285.03783059504764,293.1804784509987,PER
1,164.51712161143539,159.39277975001878,BOT
2,155.0219409027613,151.49735251514264,BOT
3,220.83378230204082,223.95083483257676,PER
4,280.2687504484848,285.28398323116886,PER
5,284.01840146666666,286.9358683826087,PER
6,149.16235345053673,142.98781107532466,BOT
7,144.82990567757577,144.60166064820868,BOT
8,145.2354829326257,147.77500877818878,PER
9,192.76228353960636,178.65420076001,BOT
10,130.7313900345967,131.5027186375635,PER
11,122.9382293425685,124.87345439347968,PER
12,174.28531037877653,163.15359135444223,BOT
13,268.0104169333333,266.3833339826087,BOT
14,285.43985658863744,287.02248989813666,PER
15,155.9459785738849,152.59797422824442,BOT
16,203.15727536625624,214.91317159665778,PER
17,183.33177617447566,168.29379797092733,BOT
18,273.0990336976566,268.2936337178275,BOT
19,293.2699529293802,294.6251895965368,PER
20,308.00122190828546,308.6315877113432,PER
21,316.7425739468271,316.94708335999997,PER
22,317.5761056103422,320.0139584,PER
23,322.77893511111114,322.98812501333333,PER
24,324.13172607238096,320.81660701714287,BOT
25,320.0,315.53749973333333,BOT
