Minisector,VER,PIA,Fastest
0,246.1274349536471,249.05210212539683,PIA
1,283.1582261100144,286.07987560495246,PIA
2,182.5926925458093,172.26597843267584,VER
3,154.49304275008066,159.0583475941875,PIA
4,258.84620313870374,257.52405309594286,VER
5,265.087040115942,273.50561045391055,PIA
6,230.34828684028642,252.92196768152021,PIA
7,210.08045096688363,209.71742437753508,VER
8,161.90825404606062,160.6316562470354,VER
9,212.54781054238626,217.08123851894786,PIA
10,268.9151384066667,273.005092470155,PIA
11,125.34384569976264,129.30836074326558,PIA
12,215.19561850040247,212.52410857574688,VER
13,274.83219995196333,276.36573828455795,PIA
14,296.7111491492668,296.1001558961039,VER
15,307.2406397908433,304.3211273820609,VER
16,245.0366996687482,250.60100462090566,PIA
17,133.27931915655472,124.21965991674234,VER
18,132.48685953860726,127.01865164315659,VER
19,122.17765253862062,110.67926834993608,VER
20,225.8146022870963,226.68748149903175,PIA
21,261.01240610628724,261.3807014549956,PIA
22,242.8589721249133,251.84960843102792,PIA
23,227.6909186507562,218.6329291214065,VER
24,140.63886228485993,136.8412611418703,VER
25,216.47169747525732,218.45363898487994,PIA
