Minisector,PER,MAG,Fastest
0,298.4795303957672,314.5837963407407,MAG
1,218.18214749308407,201.51222668031383,PER
2,227.50144571213676,226.03264640266832,PER
3,275.3559981000448,282.5409007554411,MAG
4,238.18272908307694,254.00040584415584,MAG
5,126.52202467885132,123.96935417714572,PER
6,209.77736893683812,211.09075755840047,MAG
7,263.95528837056276,265.24,MAG
8,256.59173814214876,246.7582968290909,PER
9,245.35851001109629,237.15629831127094,PER
10,280.03738544,279.47208507024914,PER
11,297.8673122278095,301.3362239419501,MAG
12,306.74733106539685,319.22008145363407,MAG
13,310.5075065312169,329.5025306948023,MAG
14,307.6548723875969,335.025481024127,MAG
15,271.35701454343683,259.798123500473,PER
16,246.46731538655217,238.53649079115948,PER
17,281.42944213333334,283.97879818594106,MAG
18,289.6823234143319,302.42907299262515,MAG
19,157.73270300993553,156.35097454282587,PER
20,207.40545727407593,205.4357359506774,PER
21,188.42272985708183,174.11009575022868,PER
22,140.28631277587914,135.66965036534216,PER
23,239.59714236720686,241.91324790949406,MAG
24,285.71414856922803,283.66480200368994,PER
25,,295.5312496,MAG
