Minisector,RAI,VET,Fastest
0,296.0720760981288,298.0252604666667,VET
1,306.94611107555556,307.9524234122449,VET
2,170.01679199616174,172.496415550193,VET
3,230.35118958730158,231.00312512,VET
4,284.79236990156073,280.42923379237095,RAI
5,303.23422605714285,298.55559032165684,RAI
6,309.890625,304.34000000000003,RAI
7,177.31704328894307,179.6441971047619,VET
8,132.714963412128,133.84202368,VET
9,256.002394369884,254.215942523465,RAI
10,287.4477178565079,286.484375,RAI
11,299.2546568853312,299.44973953333334,VET
12,153.77609770733042,154.04209280540087,VET
13,193.70889493959683,196.84373643395446,VET
14,264.7362455483512,264.80812266078175,VET
15,208.61179835151515,203.63405787826088,RAI
16,224.0427852184333,226.58486782643362,VET
17,218.10227345454544,219.86746031746029,VET
18,246.61907811929822,250.71947786232494,VET
19,280.0714700423529,281.25628734257754,VET
20,297.3296872,297.0158854,RAI
21,266.82526213333335,262.20485501632356,RAI
22,231.51901625955577,230.07395882666665,RAI
23,211.59239058550725,206.93465856969698,RAI
24,270.07972242067194,268.30092586666666,RAI
25,286.5249984,,RAI
