Minisector,ALO,BEA,Fastest
0,301.04494736128095,302.3240396547952,BEA
1,230.6516954019159,225.20477670445212,ALO
2,127.88922286953172,130.01136679872263,BEA
3,235.975832183296,237.42870964077642,BEA
4,194.10544624470435,195.85934720482,BEA
5,244.08800194066026,250.15401186478985,BEA
6,230.9082035058128,235.97696756353744,BEA
7,258.5680701195765,256.54303572244896,ALO
8,290.2361918781649,290.3044216469289,BEA
9,206.504999845152,204.3382843137255,ALO
10,210.00537632206348,201.2028957538519,ALO
11,271.92178831125915,273.71277130332254,BEA
12,209.4995970159997,215.15001005193324,BEA
13,256.1021951349184,249.2336304986185,ALO
14,292.80063391981423,290.5981884289855,ALO
15,307.43078953838506,306.52719070648845,ALO
16,304.050409063663,312.2368253968254,BEA
17,211.4562972049056,217.55325807992827,BEA
18,261.9881663508379,258.40098279184815,ALO
19,294.67954898031746,293.90569859177737,ALO
20,308.89315791949207,308.5462599206349,ALO
21,309.80015412714357,313.0787661670183,BEA
22,149.80585831349583,158.88065436250946,BEA
23,231.2912641671111,225.21811532008715,ALO
24,285.49477060016034,279.98538529191694,ALO
25,,288.9723297392377,BEA
