Minisector,LEC,VET,Fastest
0,300.07112115980993,299.969800502945,LEC
1,255.04870790189997,260.0871329154324,VET
2,208.32465320966776,212.45203632266671,VET
3,270.94604991929276,272.72938304415584,VET
4,232.55351916430124,246.77219064184294,VET
5,117.50850640531468,121.91853941452459,VET
6,181.65978151725108,186.43196860744123,VET
7,258.5522659646258,259.8875225712016,VET
8,287.43139449982186,288.6461974167947,VET
9,300.7141383495033,301.7918799689683,VET
10,305.98150926725873,307.0691668266667,VET
11,237.82983907967798,234.41441996238547,LEC
12,147.17883323004764,146.08542647046434,LEC
13,259.4670791994365,261.17363725839317,VET
14,290.34489456477866,291.9725430603268,VET
15,300.5968219600119,302.4734620025332,VET
16,298.17888300025936,299.48168288138527,VET
17,269.3034949669038,280.3873188680285,VET
18,195.98640837560603,200.03513538434555,VET
19,191.63607377133033,200.15498236238247,VET
20,194.5747568974024,191.13213296086622,LEC
21,253.778025667695,256.9920504311557,VET
22,129.4347116553054,134.38304073824762,VET
23,202.25711502390854,198.65749849279234,LEC
24,279.0749965258373,279.4869840630267,VET
25,293.1562512,295.15899630888805,VET
