Minisector,BOT,KVY,Fastest
0,275.71625026545854,275.989275228713,KVY
1,288.6974303825123,292.6661137360316,KVY
2,288.5151620029283,284.7515721067934,BOT
3,183.58537151826408,173.28492843567906,BOT
4,138.81535320837335,132.22942446231613,BOT
5,244.5397075942721,248.03477022947143,KVY
6,282.606285624788,295.867548735598,KVY
7,293.57367156567926,301.78608126161885,KVY
8,191.6559800079815,165.24322930076312,BOT
9,154.90396246326546,149.540004355187,BOT
10,254.84580071460948,256.56634014427885,KVY
11,284.25519376008657,288.78270325047106,KVY
12,294.0973015890966,297.7324633618057,KVY
13,289.0307594020967,283.2642540766532,BOT
14,299.3324386736091,300.6693934181072,KVY
15,297.4203868473116,301.9261455605268,KVY
16,264.29447770077894,244.14389341134327,BOT
17,241.83076652335546,224.5988046519176,BOT
18,282.63835490742605,287.5887802655546,KVY
19,299.964963082036,317.9880943390989,KVY
20,306.87043722151776,317.7468323723468,KVY
21,253.25237165039286,208.25278964391256,BOT
22,267.3553685497707,251.27763703676555,BOT
23,140.50167038791304,136.34783429105585,BOT
24,225.51099242138702,229.06697186543656,KVY
