Minisector,SAI,BOT,Fastest
0,267.4814833533333,270.071541341498,BOT
1,297.8893619755742,301.40837649781076,BOT
2,316.48498987779595,320.57117624615387,BOT
3,328.5265731257582,331.8876963463741,BOT
4,335.0606289807163,339.55831329862434,BOT
5,334.4934703798601,341.7695436952381,BOT
6,218.32838094851826,205.39022294233766,SAI
7,104.36691104639371,102.66875251204216,SAI
8,188.62299472571428,178.70168072777142,SAI
9,256.1155253369423,265.8307435526311,BOT
10,282.7029160914286,297.75880007757576,BOT
11,162.05348572873564,149.70176146580644,SAI
12,93.53301424354672,92.93347898713776,SAI
13,113.65545461480647,114.45997855505823,BOT
14,208.58202860670707,215.4467627412582,BOT
15,179.71109637002073,175.82321118969392,SAI
16,221.4985959543195,214.84178908610974,SAI
17,174.031214973592,167.33773408166667,SAI
18,231.8278061201272,234.57404167578977,BOT
19,273.26406635864873,281.5077545972288,BOT
20,235.19896819542856,236.272843992658,BOT
21,145.20754193365303,134.93702521001478,SAI
22,96.83871415307013,94.94392148643603,SAI
23,125.33196266804521,118.08546696561162,SAI
24,222.9197875033766,224.14591276643625,BOT
25,251.5,253.84999679999999,BOT
