Minisector,LEC,RUS,Fastest
0,174.13065922633746,117.04362431826559,LEC
1,208.27132488246139,160.37087361670635,LEC
2,220.04261735619045,204.82967916748922,LEC
3,152.8195398988506,223.41275585306124,RUS
4,113.2582703769038,255.673262024032,RUS
5,152.60328945745007,276.60909421375663,RUS
6,189.48749973333335,289.09531262857143,RUS
7,158.9964882162578,295.6947588749536,RUS
8,158.50577786311112,276.16071825900127,RUS
9,150.27046196520635,249.0,RUS
10,170.0480664612419,203.69703753142858,RUS
11,213.31408583797153,200.0,LEC
12,226.61229290666665,194.12249536415405,LEC
13,253.84244989273185,140.1316692157262,LEC
14,226.5192701939394,135.6731501037037,LEC
15,215.13758485767704,184.14711716923077,LEC
16,222.0,217.27318009347513,LEC
17,257.0022147047619,192.78844580679842,LEC
18,277.18609716771925,107.17247862274155,LEC
19,274.33402305185183,135.88264392258063,LEC
20,164.72102781184768,172.68896754567902,RUS
21,112.16277634969225,184.59843642666667,RUS
22,146.93743223466666,159.2625798683744,RUS
23,202.56182184347827,147.80668471771855,LEC
24,142.55467689180063,162.06468307301589,RUS
25,115.75999232,197.85193819711856,RUS
