Minisector,NOR,OCO,Fastest
0,292.4475,317.55666613333335,OCO
1,289.36646836825395,329.25019495416444,OCO
2,278.27599212698414,335.0196759703704,OCO
3,228.72056700524047,222.14407216410257,NOR
4,231.97238142171426,224.550350288276,NOR
5,112.65966127644866,113.11858225613925,OCO
6,224.05385726419752,212.3617548952381,NOR
7,273.182168530656,264.3948406349206,NOR
8,233.5036923062857,229.03715729649124,NOR
9,116.222283946683,115.78655502007359,NOR
10,238.88315915555555,232.26583244190476,NOR
11,252.5389649742443,243.49891334492753,NOR
12,135.96538073391403,135.12698883809523,NOR
13,215.56554400000002,210.85333892563827,NOR
14,266.7621210666667,266.1826294372294,NOR
15,229.5648144847253,225.32167758262858,NOR
16,157.37186477798983,156.54670936140352,NOR
17,236.91842357639075,234.55413741265704,NOR
18,125.67068941544818,125.08254001178956,NOR
19,143.66392305133564,145.68604195047618,OCO
20,185.40991332316577,185.27756199351938,NOR
21,257.50634017391303,254.52800140455486,NOR
22,274.95876266080165,273.3254972140888,NOR
23,279.3869896707483,282.20456335238094,OCO
24,289.0837796571428,291.68139075689226,OCO
25,292.9458336,295.9541664,OCO
