Minisector,HAM,SAI,Fastest
0,296.65366444862497,296.40844899626666,HAM
1,254.81800437040204,247.19283724065775,HAM
2,199.2708998816214,202.1483119281187,SAI
3,262.12266522714276,264.5734173861865,SAI
4,215.85846254283925,226.85165915558682,SAI
5,113.19934449862227,112.81646939970963,HAM
6,171.4009458236428,182.2624645782728,SAI
7,252.35437535089685,257.91277995191916,SAI
8,288.08952374548295,288.9770473514976,SAI
9,303.7181576400287,303.3910585756801,HAM
10,306.273170137971,307.9557973702341,SAI
11,229.14771911999998,242.3042884209203,SAI
12,139.7784564082891,142.871550582783,SAI
13,250.76737855981628,250.7296638988034,HAM
14,287.50203608029557,287.1848925368053,HAM
15,299.4368952332468,300.0735921608834,SAI
16,297.604844354632,299.71413973631047,SAI
17,256.3080137948718,268.4083574634667,SAI
18,178.59526814326264,191.90560703116117,SAI
19,175.65265822710677,189.17697385978795,SAI
20,175.04623673568628,169.0098330535714,HAM
21,241.6868390284815,246.83447812114753,SAI
22,121.75700086197678,123.4186335174151,SAI
23,190.5973748514671,192.3119793528108,SAI
24,275.336279454359,273.621568540761,HAM
25,,290.51875040000004,SAI
