Minisector,OCO,SAI,Fastest
0,282.9825493127075,282.2477449272381,OCO
1,296.8206221256288,293.8005407307359,OCO
2,242.3905591619051,236.39467763153053,OCO
3,115.88446031822549,111.91595793357837,OCO
4,137.26473043677808,133.05943318978933,OCO
5,253.14878305273206,251.70651551091575,OCO
6,272.19514932987016,240.0509945768921,OCO
7,123.43808883670899,130.45736685111655,SAI
8,247.64973953174092,249.65648337851238,SAI
9,266.0412464397187,263.6752064559726,OCO
10,203.9271792105149,203.14176446530612,OCO
11,141.28026134980448,137.927601060597,OCO
12,206.66704779059583,215.3195580082106,SAI
13,267.92785591618804,252.08216863238093,OCO
14,121.18968753197696,116.12789885115646,OCO
15,194.77406246597107,202.22226649018052,SAI
16,263.68611773859254,264.19374629407406,SAI
17,291.78575502614717,291.3372615261423,OCO
18,304.91328750193776,304.5376121433058,OCO
19,310.9573214780952,309.9674383802469,OCO
20,311.80527204716554,308.3518670491165,OCO
21,170.35259530900152,143.05817123542926,OCO
22,144.85805581391293,175.97145008790392,SAI
23,204.57344269502343,203.03506253372993,OCO
24,238.77208922980822,242.76609977835497,SAI
