Minisector,BEA,BOR,Fastest
0,273.5196300026029,273.063454228872,BEA
1,300.60378213046386,296.3483473389356,BEA
2,312.46034258924624,309.33855545060266,BEA
3,318.66212133384613,316.08103830316287,BEA
4,320.10336739434445,319.69645833333334,BEA
5,322.1386458266667,321.53799999999995,BEA
6,205.36284734529497,199.4247691319862,BEA
7,106.68165921309928,105.79723102768429,BEA
8,193.55593358810208,189.74703412313428,BEA
9,262.670774064598,259.6857724439877,BEA
10,287.4838712711111,289.95667463517464,BOR
11,168.0945621589189,165.59804842206498,BEA
12,98.07523228437019,100.53775101057082,BOR
13,116.37029951181958,117.18910855645278,BOR
14,222.19844767954427,221.89958673355184,BEA
15,190.28690071762088,189.57833612018257,BEA
16,225.56445297406128,224.4861510809364,BEA
17,183.17365103486296,182.3662347690924,BEA
18,234.65746453333335,234.85351473922904,BOR
19,276.6358528143915,277.18390629,BOR
20,248.56985757458838,239.87835146358805,BEA
21,148.3492762929138,147.9533699851926,BEA
22,98.18728651128947,94.02364162369074,BEA
23,127.02384759088949,124.8479929731904,BEA
24,225.56378484342858,220.71621237575758,BEA
25,,255.7125008,BOR
