Minisector,HAM,RUS,Fastest
0,274.4340562678475,274.4175734002771,HAM
1,305.1213667562152,299.99561152,HAM
2,325.63344918874077,314.0067768420024,HAM
3,341.7678891404603,321.5780991866667,HAM
4,346.5148550551805,325.6182603870145,HAM
5,347.81688984761905,326.25890608761904,HAM
6,220.8613509182098,204.11754969959276,HAM
7,107.39220446414247,104.5253684922172,HAM
8,191.03689673089886,193.70562654507142,RUS
9,263.14632692172336,261.03495857296576,HAM
10,296.0110639589952,290.560403968576,HAM
11,157.81081680510894,160.99899269980187,RUS
12,98.28607948993177,97.96422422779398,HAM
13,115.16212782263074,117.24272674186902,RUS
14,218.39771155169083,216.6963792,HAM
15,189.76728840131724,192.54045391165045,RUS
16,220.55644700606064,226.31127040528926,RUS
17,178.86847012689392,185.08295397608856,RUS
18,236.4634616321195,239.4349442550376,RUS
19,276.6858614480672,278.1198287644445,RUS
20,232.47807823597594,239.7438954907726,RUS
21,142.28350513763266,147.19851788050954,RUS
22,100.95229137312323,99.714766324101,HAM
23,124.65771416809524,129.65164434443415,RUS
24,227.05301497973122,228.473376352,RUS
