Minisector,NOR,HAD,Fastest
0,292.45572067927134,206.96953283413336,NOR
1,312.4125,207.91467864130038,NOR
2,326.65256418461536,248.6410710857143,NOR
3,335.1671849196639,276.1698408973545,NOR
4,337.7085714285714,265.1139525756614,NOR
5,314.43352255584415,141.11777264761906,NOR
6,220.30076098228955,119.64953763512194,NOR
7,103.94505097142857,182.56039048592245,HAD
8,101.93294131814159,185.965,HAD
9,199.5208016227343,117.7527782781572,NOR
10,238.4748018285714,113.41147294263565,NOR
11,263.52751893172933,165.09803190129873,NOR
12,261.9262464242955,178.92803279595842,NOR
13,165.49720396087827,131.04221823837275,NOR
14,114.2168351847619,139.3490639090762,HAD
15,134.32363141333332,191.53306666346987,HAD
16,202.8448888888889,237.82450011183047,HAD
17,233.36440222608698,259.163623856,HAD
18,239.03148157037037,282.6666666666667,HAD
19,219.20671817333334,301.3147056941176,HAD
20,209.82440664565658,310.0,HAD
21,244.27493089777778,318.3194803532468,HAD
22,259.29453128,323.6666666666667,HAD
23,263.49901711383217,323.644,HAD
24,180.06720978962963,,NOR
