Minisector,NOR,LAW,Fastest
0,293.7219849658483,288.6241506865359,NOR
1,297.61201383269844,294.34830507774893,NOR
2,158.30731140691864,153.17403577998093,NOR
3,223.7675557584314,220.85106472568665,NOR
4,273.00879491947956,267.1309446745255,NOR
5,294.0117904175824,288.9981828747513,NOR
6,304.9210671902041,300.31959827918365,NOR
7,170.32775946615928,164.64994480134024,NOR
8,136.24132270727208,132.88573066231743,NOR
9,250.5347003071522,248.51355840870747,NOR
10,285.7466986773333,282.5141237825878,NOR
11,296.6103913677675,289.27765258753493,NOR
12,144.39063216414166,139.04823028333757,NOR
13,193.07327813175343,194.4911885860486,LAW
14,259.0652911117576,255.58741153290498,NOR
15,200.54196536507936,193.16008852925629,NOR
16,219.91191826123324,212.27799322753847,NOR
17,215.16390340102564,208.33030331486984,NOR
18,249.5850516754838,241.1629743751959,NOR
19,279.99807043160496,273.6786581727273,NOR
20,296.62709414603177,290.79893526716046,NOR
21,269.48193639619046,258.2596101387522,NOR
22,220.7569754593524,220.560325987494,NOR
23,200.16495824,194.07236821412755,NOR
24,264.7546632228572,258.7953795288889,NOR
25,,279.1736124444444,LAW
