Minisector,HAM,GAS,Fastest
0,306.55516672,293.61216931216927,HAM
1,244.72568286664665,235.8629892392157,HAM
2,135.92056517371387,132.65431335672514,HAM
3,239.09734003333332,240.46600787142856,GAS
4,191.5466026073486,194.43385424000002,GAS
5,242.11861986666668,243.41817554251895,GAS
6,228.5845399313202,231.1047797102453,GAS
7,258.49302015844535,253.1082184798771,HAM
8,288.05969179234694,282.22878338161473,HAM
9,218.3721824152341,207.17159997192982,HAM
10,208.16594660250627,208.11924174062605,HAM
11,272.3344125177027,266.6093113469388,HAM
12,219.6377375085714,212.63358887187368,HAM
13,250.21031565460203,251.37547294069225,GAS
14,292.6909800439561,286.5992098787384,HAM
15,307.8405449846154,296.8602564102564,HAM
16,306.10966660266666,291.9477696547737,HAM
17,238.87768602428605,237.9124811047619,HAM
18,270.2083335727891,268.76071243015684,HAM
19,300.14591555076,292.9442901728395,HAM
20,308.13480951466664,296.6077146740178,HAM
21,299.37506847949874,288.3703868571429,HAM
22,160.58745903726702,153.71698007422162,HAM
23,238.43445019506885,237.61770271718004,HAM
24,290.2615415473711,285.75555567407406,HAM
25,302.4,,HAM
