Minisector,RUS,ANT,Fastest
0,300.5682144454581,303.40013156432144,ANT
1,189.33378183889255,200.73280605710588,ANT
2,219.79446824998433,211.9803595813691,RUS
3,276.6176866676223,273.096460434504,RUS
4,228.99886166003702,254.0118561056137,ANT
5,124.37511196437053,124.59339753188051,ANT
6,203.87883494945254,196.41641624872247,RUS
7,239.08772608857188,231.9612955716336,RUS
8,236.26056991619896,219.3368383123665,RUS
9,226.46116696543885,215.2607391479354,RUS
10,273.2150347796582,269.08706007109106,RUS
11,289.73115356286996,290.090527697984,ANT
12,296.4746942399718,304.59485119047616,ANT
13,298.92778810372727,320.53189216771307,ANT
14,297.73357142857145,327.9654714290645,ANT
15,227.56901305677488,229.48773322645908,ANT
16,226.90821337740826,224.39860836772328,RUS
17,270.9428997579742,276.65901999903747,ANT
18,285.48652090637495,305.4847406546492,ANT
19,139.6030917788288,147.1481680352936,ANT
20,195.4431641573585,188.2728620806945,RUS
21,184.10726748435414,203.70710988361733,ANT
22,134.72808346515114,126.07843943298705,RUS
23,236.83597061142112,221.52221676738745,RUS
24,282.63795683221883,289.59191992994425,ANT
25,297.1194974021604,309.7906196706816,ANT
