Minisector,LEC,TSU,Fastest
0,281.582232125673,280.49700291333335,LEC
1,297.7070296562358,297.04450847558536,LEC
2,301.0219513004329,293.1275681532275,LEC
3,176.24997447521164,174.31475541364853,LEC
4,219.85141729229971,213.2132166702381,LEC
5,205.46567162310185,198.2396535487148,LEC
6,179.2168239557914,176.3679472849457,LEC
7,205.19863294227795,199.33856952962623,LEC
8,255.12698596513766,254.00262440263734,LEC
9,263.4368385642504,256.1888386064399,LEC
10,167.79613584272604,162.83028459190925,LEC
11,235.48270020576322,238.94376294629816,TSU
12,115.85491724509737,109.2305953423203,LEC
13,224.92831036098,224.91783185646352,LEC
14,277.2640755560055,276.5675523265672,LEC
15,294.51401684855716,289.69652764666665,LEC
16,220.01636934229438,198.94342747793218,LEC
17,182.70494342620492,185.7606349218034,TSU
18,265.53550490016227,266.7378144113834,TSU
19,292.61452514110493,290.1238282722761,LEC
20,302.0717755366224,300.45242908257313,LEC
21,303.6929202090582,300.57025593881673,LEC
22,278.8619416829794,251.63353080376217,LEC
23,114.95177449570349,112.62174946644029,LEC
24,237.08624125486824,238.84993251102836,TSU
