Minisector,HAM,LEC,Fastest
0,245.82190707837185,245.3381896827586,HAM
1,280.38888888888886,279.51180555555555,HAM
2,186.66390376230257,184.85603191255106,HAM
3,158.7510204335601,155.77393413953487,HAM
4,259.3979295976884,255.79296988607717,HAM
5,265.68666666666667,273.6139047619048,LEC
6,222.77760746666667,218.24098160639346,HAM
7,203.30465684705882,197.2113774976871,HAM
8,152.9703787878788,151.6503306538639,HAM
9,209.60827691556415,211.9120096887617,LEC
10,269.1333333333333,273.052,LEC
11,128.6091040213733,125.35246533675864,HAM
12,208.22836585540256,206.33769136649863,HAM
13,271.01914285714287,269.1148351648352,HAM
14,292.30605654819226,289.6654951766528,HAM
15,300.72234454717994,297.88999680738425,HAM
16,247.4896551724138,247.7385414095238,LEC
17,138.38112447916774,133.71949615678307,HAM
18,131.93311719209026,131.3027497583019,HAM
19,123.07596295824702,118.69356837402192,HAM
20,223.2394409414204,223.63730227793118,LEC
21,249.1635802469136,252.1675926123457,LEC
22,240.8013380441843,244.07622959138916,LEC
23,222.32775855118467,225.07871002412696,LEC
24,140.67900643796855,142.31148519343185,LEC
25,213.79166933333335,,HAM
