Minisector,VET,SAI,Fastest
0,262.0267045347166,260.0499539909452,VET
1,213.94202541396538,198.1130091696778,VET
2,225.458363659015,225.27210098984767,VET
3,264.7493842096451,265.0455343001728,SAI
4,278.78377792451397,279.76855399750025,SAI
5,232.92407201253167,205.29878966075802,VET
6,97.04005135723467,96.57757022913553,VET
7,184.16700098693022,200.46180549399455,SAI
8,269.167177511826,283.58607282734806,SAI
9,293.673645056876,315.61129241951386,SAI
10,301.06536143582116,328.5763977698772,SAI
11,299.6387284880922,307.61765252950966,SAI
12,113.69374784106286,109.0695616491764,VET
13,218.58928540814628,229.3260553858072,SAI
14,277.41213421018773,282.3564578479769,SAI
15,296.42810677313105,298.1989102452485,SAI
16,232.5229285155148,199.190200112424,VET
17,126.62449287429,124.74581400573665,VET
18,155.58414353797997,159.84294610596453,SAI
19,256.4653527505874,256.1203523647782,VET
20,159.64262812188306,148.5219890661129,VET
21,129.40764528635242,127.87828303780073,VET
22,212.19201556003742,211.17884166186812,VET
23,215.51843412693714,191.3718805815596,VET
24,172.25465418207273,167.24424236721677,VET
25,234.4333312,,VET
