Minisector,VER,LEC,Fastest
0,276.1631768911977,279.52151331787036,LEC
1,293.9612135670991,297.35149384355435,LEC
2,231.59789792420912,237.07633626855406,LEC
3,114.48743845626315,110.24662232538239,VER
4,130.37340284342164,125.4054243210948,VER
5,245.0577537142457,248.08890140395258,LEC
6,253.75824914133332,253.45526120128707,VER
7,123.80514301516864,120.8774315091656,VER
8,242.60808683521736,243.64512290250525,LEC
9,257.11014918521556,250.34399900711375,VER
10,211.0238971519951,202.65520137937168,VER
11,141.1290589872239,138.14922948335814,VER
12,199.98099467494646,206.02419906351656,LEC
13,258.4628580717745,261.5762598205549,LEC
14,113.0643510298298,110.31018083757071,VER
15,187.4494057496255,186.32921716249538,VER
16,253.15852848179787,255.43738597645526,LEC
17,285.22230755086514,287.2468295550957,LEC
18,298.78996305160507,301.0506414409035,LEC
19,304.93717535584415,307.0208882105263,LEC
20,307.40503475555556,309.7126608336842,LEC
21,176.80228691196726,143.75649302535567,VER
22,138.0516396517361,154.354225533326,LEC
23,196.07928824482815,196.46495564932036,LEC
24,230.0735899697163,236.19376159241105,LEC
25,262.0250016,,VER
