Minisector,STR,TSU,Fastest
0,274.56225068046894,275.5472779677668,TSU
1,297.1445657859048,296.3825065917536,STR
2,294.80568935045204,294.57054467128427,STR
3,176.2508176486816,179.34785411416317,TSU
4,116.61018292718832,123.51781315316052,TSU
5,234.95265242119825,237.98164889665182,TSU
6,280.91240261750204,279.31382144843474,STR
7,295.2700168700416,293.04329859555554,STR
8,185.7462454297584,182.96087811603758,STR
9,147.56374762394205,144.3464000368055,STR
10,248.70655303582208,250.85076587341868,TSU
11,287.75682053874397,287.5434729947777,STR
12,298.2351981407115,295.69010735091075,STR
13,280.4117316274538,276.4106580465934,STR
14,294.28167499304453,293.4072271473728,STR
15,296.9374294484656,293.5316790109091,STR
16,249.84557809181618,254.68820067578645,TSU
17,227.94900864088055,232.87337653778394,TSU
18,275.809336738244,276.2443920609437,TSU
19,297.61009760542737,296.95824168019703,STR
20,300.2708797688889,296.6151899547312,STR
21,241.51309084980613,233.24817962782882,STR
22,261.3047725541709,258.9072951480335,STR
23,142.32495742548346,141.55184915937613,STR
24,210.96995479190429,219.09669615580654,TSU
