Minisector,PIA,STR,Fastest
0,297.5762582176242,308.9109821259761,STR
1,208.19449525388035,204.1892292515679,PIA
2,149.59409073129706,135.21665878567177,PIA
3,227.43642504557914,221.35699445575827,PIA
4,175.30418460947067,160.40917217449118,PIA
5,193.80207381057363,178.95554092797295,PIA
6,255.83274761461124,256.376457788606,STR
7,277.92030356888887,281.9257776924444,STR
8,281.68782851116424,290.21113560659717,STR
9,266.61661450756304,266.03728144308565,PIA
10,256.28666653333335,252.53996010346322,PIA
11,250.30393440570964,242.35781379400424,PIA
12,221.7428531699499,220.52038638857144,PIA
13,134.77170402498425,132.84333673849514,PIA
14,147.30004319389707,148.36799031924335,STR
15,179.19244196871986,163.20132973866666,PIA
16,252.16569514013585,252.47227590812327,STR
17,239.3493584817166,249.6890359635418,STR
18,115.68978669350568,110.4705894833858,PIA
19,201.75015957372773,186.74812516041612,PIA
20,207.4687658144222,203.3936144331161,PIA
21,239.67969958944164,237.70281119539754,PIA
22,266.40831538190116,275.474534416732,STR
23,282.02587450600123,301.12421008,STR
24,292.8033927583332,319.75650668437044,STR
25,295.2812504,326.1147720727273,STR
