Minisector,HAM,BOT,Fastest
0,297.72321401904765,297.0748188289855,HAM
1,251.70780921010507,252.0379326978751,BOT
2,199.12569345777777,197.75781442457756,HAM
3,265.06529328194597,266.3705698751781,BOT
4,220.76233883900227,233.07440533333332,BOT
5,122.58227500161655,122.81702406967906,BOT
6,183.5998063327731,180.23884664685716,HAM
7,257.29501633721935,259.130208,BOT
8,289.1011435818198,294.9479407102395,BOT
9,303.24749994666666,309.8762500266667,BOT
10,308.1679820165951,313.9480342176031,BOT
11,235.51053011592083,242.8038580148148,BOT
12,148.14516385489677,145.09256566735098,HAM
13,257.07606660443054,260.3886827294219,BOT
14,290.29705075670995,296.1519747455162,BOT
15,299.4452380444444,306.9775,BOT
16,293.0418019116883,301.11190466031746,BOT
17,257.52130736209523,269.0413043478261,BOT
18,188.58684762641255,184.1388769079612,HAM
19,189.05773612970918,195.25519366054976,BOT
20,182.9460814566042,176.06381115124933,HAM
21,251.10554744685712,248.83458106337548,HAM
22,131.56444247249615,127.96192340455895,HAM
23,200.70455595723124,195.23681009951804,HAM
24,276.54317944126984,277.14412901818184,BOT
25,,295.32500053333337,BOT
