Minisector,LEC,ALO,Fastest
0,301.5524320950458,295.1608776186855,LEC
1,210.02574200060064,205.57159297715967,LEC
2,231.38814742439962,231.70621436695538,ALO
3,279.68816125709793,275.6912539758764,LEC
4,248.00143230454108,243.1329892340765,LEC
5,126.79428924150963,127.51671543315058,ALO
6,215.40027506349708,215.45538644590317,ALO
7,267.35519685514737,261.6223917464965,LEC
8,248.85899469793586,249.36267893206352,ALO
9,240.25089051165568,243.2754226084061,ALO
10,279.3100173078852,276.82875981664813,LEC
11,296.0192848048073,291.5573032942341,LEC
12,311.9265208967145,299.61241124631186,LEC
13,323.2314943068501,303.0483135153439,LEC
14,326.26055559111114,302.9041351111111,LEC
15,270.9150268659377,254.42279926153847,LEC
16,247.5877940231511,248.79748025301106,ALO
17,287.864908051948,281.8955721428496,LEC
18,310.3886002734362,291.3361808653551,LEC
19,156.52853044018687,166.76522534326116,ALO
20,214.28322233843244,216.02413435827054,ALO
21,192.1186176618082,186.25300235714286,LEC
22,141.83327389342406,147.2812211391557,ALO
23,239.5022457385908,243.02819058019088,ALO
24,283.80764177577583,283.19335609904766,LEC
25,296.71666773333334,,LEC
