Minisector,RAI,BOT,Fastest
0,280.98270434708996,274.7262958341737,RAI
1,306.32770360119696,298.5689775219076,RAI
2,320.76388864,311.7969444977778,RAI
3,327.76831483076927,319.51645417142856,RAI
4,331.6360119619048,324.2341411918368,RAI
5,333.2548937426522,324.9509006863232,RAI
6,208.74842311552794,195.68127285079365,RAI
7,109.69233596503302,112.66280315893285,BOT
8,190.68156679704404,194.95297727867495,BOT
9,266.24036467488753,265.39336872049364,RAI
10,294.5699997866667,294.37416674539685,RAI
11,168.10075939998873,163.3097579000923,RAI
12,100.57152174704814,102.18785388165803,BOT
13,119.68038955572715,125.214223734166,BOT
14,227.8035779094386,226.7359745674006,RAI
15,178.21739153623187,199.1028570742857,BOT
16,219.32145556643445,236.96619036422663,BOT
17,174.648334336,193.98016388923273,BOT
18,237.71470083657474,248.84296932973615,BOT
19,281.00755226666666,285.4821435714286,BOT
20,248.34166666666664,247.3685185777778,RAI
21,145.3739827317972,144.1845233612522,RAI
22,100.27378181907767,103.13774935349012,BOT
23,128.74336558431372,133.05958846150494,BOT
24,232.08613519650652,232.1414481403509,BOT
25,263.229168,,RAI
