Minisector,VER,PIA,Fastest
0,316.34120051976106,311.9285502630767,VER
1,329.7030375938788,325.3626397025571,VER
2,334.5342040162757,330.4895725873555,VER
3,312.3937689780947,309.43756640699905,VER
4,156.08026555974814,152.04591849456565,VER
5,192.1657346457654,188.0227116693081,VER
6,216.53580239338476,214.5399684065483,VER
7,262.85183032549895,258.64938255530427,VER
8,234.07600232218465,232.33484158640366,VER
9,155.70797207985424,152.8992244157811,VER
10,214.52332213022194,207.61409797203964,VER
11,124.90776477529302,118.3933995364529,VER
12,234.00387890894007,233.77940296858242,VER
13,166.28595990815333,159.53075326930414,VER
14,208.68902008698637,207.74535627400684,VER
15,213.1424006148613,217.47690615290583,PIA
16,255.07989161443317,258.49706676629796,PIA
17,294.37440358976045,285.65502311024835,VER
18,142.92671797643493,138.97045984340247,VER
19,156.5590537210723,157.8312844654872,PIA
20,137.97285968306412,138.52724471691383,PIA
21,227.80991440876488,227.04855832746378,VER
22,249.22493723579473,249.86798048062965,PIA
23,235.9969967186004,233.65930657103425,VER
24,283.0825452780984,283.2202373281667,PIA
