Minisector,PIA,HUL,Fastest
0,276.89220436544156,281.8252721158095,HUL
1,295.0629951074517,300.7035680419029,HUL
2,218.819293019166,215.70532289422223,PIA
3,109.03583936064723,106.00688787274115,PIA
4,130.42160218416285,128.28189740792186,PIA
5,246.2080464662904,249.95887485211418,HUL
6,237.3489439802356,252.63748221318096,HUL
7,117.45362746412137,119.00129039160373,HUL
8,242.75066045186816,241.029371832071,PIA
9,241.8452081511111,235.6249895727946,PIA
10,195.15752726611368,191.22477312659504,PIA
11,134.93147226907905,135.67549009757096,HUL
12,204.6533372282179,201.66727617333333,PIA
13,255.2828855981414,262.6990747065628,HUL
14,107.4729519786514,110.09964528294383,HUL
15,188.9176682705908,182.31401919063492,PIA
16,255.25143465950316,252.8902441772257,PIA
17,291.082216471586,287.5964126722078,PIA
18,309.7546307573333,303.17246470380206,PIA
19,325.0785537592381,312.2541170984127,PIA
20,328.9207554208491,316.4931954333835,PIA
21,144.25391575874306,161.44863718618458,HUL
22,140.9966001703966,132.45500741337992,PIA
23,197.26497037312407,183.09810440262606,PIA
24,233.4541881912606,224.9009174774026,PIA
25,262.64062559999996,261.8250005333333,PIA
