Minisector,GAS,HUL,Fastest
0,284.0581403022999,287.39059572571426,HUL
1,230.61822268157349,218.46894556227238,GAS
2,112.85404387382829,113.83454561697941,HUL
3,199.05577893238322,199.57227655384617,HUL
4,171.27196793764747,169.34433585581158,GAS
5,218.99910652698415,229.97648858412697,HUL
6,284.36282688,293.3752631456996,HUL
7,309.2213538666667,315.998326,HUL
8,174.29120028629148,169.1259998866935,GAS
9,122.54665800103211,121.97016858189508,GAS
10,136.12687228460354,135.3802157346635,GAS
11,197.06243609091908,200.8612283189954,HUL
12,203.40372570299823,205.96952127732055,HUL
13,130.09965526420953,131.07872138927846,HUL
14,140.52400650383353,145.00644075698762,HUL
15,135.62884142748348,130.95671742562115,GAS
16,263.04217314890593,268.0462497066667,HUL
17,138.00455695015143,131.8135704647619,GAS
18,203.71084060811503,206.52743293271834,HUL
19,128.91377199383314,124.04050414962275,GAS
20,141.83385976989865,144.33402601124473,HUL
21,126.18253384541146,125.40747198007111,GAS
22,155.9278065414966,153.0455953267494,GAS
23,216.66840244444447,219.77672734003434,HUL
24,235.71711601407662,236.17857142857142,HUL
25,265.05357257142856,270.48571794285715,HUL
