Minisector,BOT,NOR,Fastest
0,308.0934210245614,305.92914760083937,BOT
1,242.08800042378712,232.20240702939958,BOT
2,138.66718343057644,130.54769835632527,BOT
3,217.74047014805433,217.417833216,BOT
4,262.44145760000004,264.78578947368425,NOR
5,288.20251017854224,288.94473678596495,NOR
6,302.85984290412847,302.56960784313725,BOT
7,288.3285114385965,280.68850000000003,BOT
8,176.57511205700095,170.88892091674347,BOT
9,239.30546436017315,238.05118464663664,BOT
10,271.1699996266667,273.4891666666667,NOR
11,268.0633997754902,263.98833333333334,BOT
12,209.23766677333333,202.18006799417904,BOT
13,128.11436559310997,126.93383194507199,BOT
14,125.78171231316016,118.30809793810882,BOT
15,163.67265768095237,167.5648594664845,NOR
16,119.54178993689065,114.12885310648572,BOT
17,232.24288230559006,222.32666263772305,BOT
18,187.9811324627702,187.20003062364037,BOT
19,158.01287783434344,156.76050578354761,BOT
20,245.18139574696653,245.82857142857142,NOR
21,275.2397551799499,276.3888369412154,NOR
22,291.65172144371826,293.32916665263156,NOR
23,301.269885739855,302.8460784313725,NOR
24,304.95694429629634,305.7529411764706,NOR
25,,306.08333333333337,NOR
