Minisector,OCO,GAS,Fastest
0,264.6153689256651,261.1467705426046,OCO
1,126.0732283643139,131.62571075571017,GAS
2,267.2963538210653,268.5934884675742,GAS
3,315.57857131428574,314.6821853006803,OCO
4,315.4816165048051,314.94876524367857,OCO
5,325.10246913580244,325.0934523428571,OCO
6,339.72457404175753,331.2264660246914,OCO
7,345.1347618864762,325.23244874895323,OCO
8,197.42981128000986,184.36699854939488,OCO
9,192.46605763688186,196.37959673968453,GAS
10,181.93291509628784,179.3883381924198,OCO
11,162.57063804511876,169.27095009332223,GAS
12,250.22927653725105,254.3516993941444,GAS
13,266.95583625118775,271.6184344242424,GAS
14,277.30813150107525,278.4850214578995,GAS
15,271.37330603526397,269.29191825454546,OCO
16,185.1441561730159,184.57933809143458,OCO
17,189.6915282216395,191.3746970097591,GAS
18,241.19806066417814,246.7086291718024,GAS
19,288.28124199900725,289.9041749915457,GAS
20,310.7136931989923,312.65591680775725,GAS
21,318.57712631132546,319.1672839506173,GAS
22,315.03304467775695,307.1670685783796,OCO
23,254.88312066604448,232.69899988888523,OCO
24,112.60346063012065,117.71739519621251,GAS
25,227.4,,OCO
