Minisector,VER,OCO,Fastest
0,281.79181846024903,301.34393011757714,OCO
1,294.47043636825396,315.64188586666666,OCO
2,299.87781966917294,322.92892162877024,OCO
3,302.0947989597994,319.9333041066667,OCO
4,255.54197029147872,183.12830333476353,VER
5,196.52514420229883,220.64353931553754,OCO
6,256.2040832288092,268.91155287272727,OCO
7,279.37943250738977,264.6108661003951,VER
8,215.57157794285715,184.62330773333332,VER
9,210.23952562715758,149.3925255799638,VER
10,144.06636249764784,182.7748947162034,OCO
11,246.37490287545492,260.89185606870797,OCO
12,273.28605073623186,248.048230553887,VER
13,224.12082024604803,230.07439670304905,OCO
14,263.9366879307359,267.36117415757576,OCO
15,224.32865326886082,171.4579485722919,VER
16,188.71610796666667,223.57687345718662,OCO
17,255.24571668757963,246.7517736174221,VER
18,150.31229705365854,137.1472346430029,VER
19,211.1871607647099,240.2687153858061,OCO
20,270.42131994458873,279.22182542222225,OCO
21,285.5547617015873,242.07165368145417,VER
22,165.64785482135784,145.7856818948211,VER
23,186.53993185918864,215.67330591811458,OCO
24,258.56939052307695,275.7509370356411,OCO
25,,293.6,OCO
