Minisector,SAI,GAS,Fastest
0,272.17129408163174,269.77554606065047,SAI
1,289.1543593155561,287.4726323610251,SAI
2,296.1207687223702,293.8637782200206,SAI
3,127.51456586593315,128.53813146734652,GAS
4,198.84271774022076,198.47675390210637,SAI
5,256.34135076995744,259.44047269423663,GAS
6,137.9074025236084,142.51607138458715,GAS
7,209.18219503745587,208.07780132378474,SAI
8,260.2691827113215,260.0709896128302,SAI
9,281.0676013700984,282.12226880000003,GAS
10,227.4223971052598,229.38778881337572,GAS
11,176.4593927270857,172.07125421245598,SAI
12,196.09369908623805,191.6085061824457,SAI
13,145.00853189133312,145.00483448270668,SAI
14,175.5710948073312,175.4812642489913,SAI
15,158.0859243005374,159.33094608974713,GAS
16,217.9143785188634,218.28457822053414,GAS
17,235.20947304111468,228.45525263935104,SAI
18,240.8154426014327,234.1765400484992,SAI
19,245.53257734740754,236.55137474281597,SAI
20,144.1730223468516,146.43772812999381,GAS
21,132.31239531348194,135.96339153982132,GAS
22,170.7510953365446,171.3608509914127,GAS
23,149.46009258460572,150.00423474659297,GAS
24,233.5954905001954,230.40633734716596,SAI
