Minisector,GAS,SAI,Fastest
0,291.2733530997486,301.3857355842386,SAI
1,291.3687514,291.780215980599,SAI
2,155.43733067254672,152.8294882208764,GAS
3,228.98408373116027,233.59693007719298,SAI
4,282.6272381632078,286.5847115914877,SAI
5,306.3476893318778,310.665271903143,SAI
6,316.3771175069232,322.51627110322863,SAI
7,150.9514983294318,134.8512229819915,GAS
8,141.5570495838964,157.05315106596308,SAI
9,251.35309012212633,265.3389149010899,SAI
10,282.1341968239217,302.9920616288677,SAI
11,288.0756609821342,311.194236578476,SAI
12,141.77606585630244,134.68480952589783,GAS
13,200.8574843074707,208.97934676223625,SAI
14,251.3040265805832,250.20721346843996,GAS
15,199.52186129843622,194.06106183809524,GAS
16,223.314398146909,225.87359527596337,SAI
17,215.08047242801712,211.8366428207138,GAS
18,248.0913882596297,251.0368199031199,SAI
19,276.8324254963461,278.50446748443835,SAI
20,292.7210565428571,284.0,GAS
21,253.69559822756295,255.2451685380795,SAI
22,219.2133542359553,217.70724073650794,GAS
23,210.83840404170041,214.28547714123562,SAI
24,265.71658360088713,265.81154408447384,SAI
