Minisector,ALO,PER,Fastest
0,271.448582776,270.7979968727526,ALO
1,247.82534509968255,241.89671317713575,ALO
2,116.61604820032521,118.52441852846188,PER
3,170.59667857460317,170.38005200701966,ALO
4,192.12233956915352,184.51560203283617,ALO
5,198.2528755978836,196.41062793340308,ALO
6,264.555985674908,270.213236741938,PER
7,289.46210467463203,298.48190080262475,PER
8,222.96054347918798,224.0288581163448,PER
9,146.69214686309581,144.66415189561255,ALO
10,121.37718153392501,115.23282313192419,ALO
11,150.39905676523907,150.3827540405092,ALO
12,244.63675688126983,240.12177066888887,ALO
13,149.51338326308465,148.06533765402332,ALO
14,147.60984845403365,146.1483810627285,ALO
15,104.32466047710157,110.12086224861739,PER
16,215.72786261671956,222.99357947084926,PER
17,238.1493465242059,236.0925719279572,ALO
18,128.82623212505464,126.2329897085623,ALO
19,240.77569957185185,245.85013094885593,PER
20,277.2246234927561,286.3990860212349,PER
21,202.94627820571404,188.1163063698102,ALO
22,148.4122404203896,143.59587665308797,ALO
23,213.3962132272762,210.164406797678,ALO
24,225.38422578196472,222.9183701705785,ALO
25,256.0877188029724,,ALO
