Minisector,PIA,LEC,Fastest
0,274.8436364509091,307.6392123146667,LEC
1,309.732776768,316.90594258285716,LEC
2,288.17851151809526,304.4225312554337,LEC
3,169.66959391727215,184.92912573533312,LEC
4,218.96967490324784,215.05646506432234,PIA
5,194.9232107008547,201.29331491330376,LEC
6,180.2233568824117,182.54841364411018,LEC
7,213.05157837575757,195.36512613171718,PIA
8,253.0242347755102,250.91868642756566,PIA
9,244.88059532867726,263.246970112,LEC
10,177.4831440406668,181.5881874942003,LEC
11,237.47967945922275,224.81375522470861,PIA
12,119.11126843001789,129.0520477105115,LEC
13,243.31871541241367,220.87813631426,PIA
14,274.6749378220408,278.84144851836163,LEC
15,270.3792620948088,277.15149472902976,LEC
16,204.59516821177675,223.7675890837672,LEC
17,193.38278324356006,180.96925675881332,PIA
18,288.5275205250153,273.8792810324214,PIA
19,315.92839277714285,317.01652838003696,LEC
20,310.9653769396825,324.4066668088889,LEC
21,291.67201738018633,307.81968346985775,LEC
22,255.66380598814814,294.5224455848889,LEC
23,124.59802995734826,121.33602669702331,PIA
24,245.49864364062495,221.5309365582168,PIA
25,,280.4577379047619,LEC
