Minisector,SAI,GRO,Fastest
0,306.66245073693267,286.6736110814815,SAI
1,324.2275000177778,296.89832904558756,SAI
2,334.3509523809524,300.3942336095238,SAI
3,321.5255204,302.0747560784314,SAI
4,165.44688005648604,167.03393264201134,GRO
5,213.05263424785807,210.7480209201175,SAI
6,241.599801476644,245.44166677333334,GRO
7,268.19398157037034,264.65995348148147,SAI
8,260.6014771860098,270.0632832641604,GRO
9,163.55416684731182,169.8199936858036,GRO
10,229.66562543030304,232.81726201904763,GRO
11,133.41141132040894,140.30330963642103,GRO
12,224.50153294292042,217.60463479413076,SAI
13,190.37713995235026,200.2171872,GRO
14,215.7799317247736,207.75543146031745,SAI
15,246.73198474833976,252.55701731929827,GRO
16,262.3581021714286,261.9320592007415,SAI
17,284.5333565175825,281.7542016717087,SAI
18,132.07254187502625,144.14011738587885,GRO
19,158.91300768814438,151.94760286751287,SAI
20,145.35644034517293,144.1601891630252,SAI
21,166.40436518603173,174.9375635498364,GRO
22,116.609551239519,118.19001397461703,GRO
23,228.5533342907769,217.22572535652174,SAI
24,269.9751079665177,263.96228101453636,SAI
25,,278.7529026078894,GRO
