Minisector,ANT,RUS,Fastest
0,310.3627388773109,312.8318408972542,RUS
1,248.57167779381908,241.8961835017489,ANT
2,131.4920157072132,133.19505103866814,RUS
3,214.05998433546785,216.27346647365079,RUS
4,263.5742564028988,265.3358233855239,RUS
5,290.1008911313837,290.86743804693725,RUS
6,305.51770563287175,307.0543085880173,RUS
7,294.0038889382067,288.1960442194286,ANT
8,177.11559730378377,169.98928890349885,ANT
9,235.63396032059487,235.77481052419603,RUS
10,272.0873265780058,273.5345652111246,RUS
11,268.78354600144775,262.93958094021787,ANT
12,208.8095640081001,206.52781532853004,ANT
13,126.6345584499654,127.34520783115477,RUS
14,119.33873400753912,122.40404853456256,RUS
15,163.00089896837926,169.93420107928748,RUS
16,121.00503742222303,118.77973800413511,ANT
17,224.23446998890125,224.22806142748098,ANT
18,188.0511830789156,191.51371850848486,RUS
19,156.05649385027917,153.95588607549314,ANT
20,241.51906792703502,239.16273614460988,ANT
21,273.2269823858628,273.12886654814815,ANT
22,291.43256190431373,291.2547898218487,ANT
23,301.01812498,303.03029152048396,RUS
24,307.02241589270784,308.7736609289796,RUS
25,,311.0,RUS
