Minisector,HAM,HAD,Fastest
0,307.35262731178716,310.1523725850882,HAD
1,232.51718633284847,222.8023448363285,HAM
2,127.84399820935839,126.55675089440105,HAM
3,233.31506922771757,234.1184942503212,HAD
4,191.88375100498433,182.10627827848037,HAM
5,247.95444268293738,240.4582278352928,HAM
6,231.73265379450626,221.0226280342363,HAM
7,258.91996362533956,256.2861702931582,HAM
8,293.1837421172684,293.72908051395166,HAD
9,197.89293121894403,198.41838355272728,HAD
10,209.44126222832958,205.33491052952988,HAM
11,275.0590258739981,276.2156757396825,HAD
12,206.84350708921605,212.7660943110085,HAD
13,249.33156630000934,243.0708235812197,HAM
14,293.50477596908024,292.9080384787103,HAM
15,310.94184671072463,317.1036955040021,HAD
16,311.59177706720135,318.78970753492064,HAD
17,209.622552963629,202.33567296693317,HAM
18,264.76476635473193,257.7381847226567,HAM
19,297.12024286989083,298.79503027103027,HAD
20,313.75429959111113,316.58817055799284,HAD
21,313.485309063924,321.0821825244445,HAD
22,141.80347748133678,147.02660480783317,HAD
23,230.9326333931361,228.87930865575626,HAM
24,289.1706069877551,292.5904521666872,HAD
25,303.32500096,307.08000000000004,HAD
