Minisector,HAM,VET,Fastest
0,311.46117472499526,307.4738847928345,HAM
1,246.5178905499423,237.80091041320534,HAM
2,138.99628692426256,144.49142817946864,VET
3,221.26588459543876,230.04720292583715,VET
4,265.74032112147955,268.18988916128774,VET
5,291.4477286433559,289.6084272338661,HAM
6,306.953692432017,303.24236339621694,HAM
7,290.26810876026207,293.2684559800646,VET
8,172.39197811677494,185.01115595901285,VET
9,242.53696326850556,241.95766700150585,HAM
10,276.4653672822204,274.1775599613006,HAM
11,275.3205220976898,277.6618369901488,VET
12,211.88191959493471,219.46209476327707,VET
13,135.21227446657315,141.79273621702393,VET
14,123.77259622301351,124.10508627378908,VET
15,167.80127360898624,181.85678225712257,VET
16,126.25315804590618,122.32991098039197,HAM
17,234.81962690611712,230.5770062120956,HAM
18,192.07257551223805,210.8879002563015,VET
19,160.85947241033924,160.09949753896356,HAM
20,246.66228867809298,244.29161483281425,HAM
21,277.9445606719974,277.11285671746674,HAM
22,294.6777654976717,293.4507880723902,HAM
23,306.30674619725994,302.1882021283377,HAM
24,311.40034397877275,307.517755262311,HAM
25,312.3250002285714,308.66250026666665,HAM
