Minisector,PIA,MAG,Fastest
0,270.5912150537143,268.5630695836867,PIA
1,235.96959595158526,248.8573625509957,MAG
2,113.8797675976784,119.4360265614255,MAG
3,176.74976078845376,172.35176190994386,PIA
4,186.8917391912189,191.50049286384237,MAG
5,192.29378191816093,190.9516431068033,PIA
6,264.5373784040528,264.8462335498039,MAG
7,286.9522337509297,285.5073937746032,PIA
8,220.83602260244285,220.71632750580633,PIA
9,143.9494825711205,143.99449534462462,MAG
10,110.81475840448813,110.22221471736381,PIA
11,148.11728475874483,151.11215570395748,MAG
12,245.41913790539684,243.35153881904765,PIA
13,145.21740643997634,154.65474512184332,MAG
14,142.39625418176533,143.36890684931217,MAG
15,106.52554812039311,109.02084541696009,MAG
16,219.2700657928205,213.99195517521892,PIA
17,225.24855799961907,234.92892578222222,MAG
18,130.60758495244417,125.26276186767453,PIA
19,243.18439992864236,238.53797260225784,PIA
20,276.09248371726034,273.5194227678911,PIA
21,198.279096075368,207.34630625261525,MAG
22,141.54976575510656,140.33187532703846,PIA
23,210.5106880684643,210.5371123757775,MAG
24,226.53775233109752,220.9675873457557,PIA
25,,254.14500096,MAG
