Minisector,HAM,VET,Fastest
0,278.3003276530027,280.84761519795467,VET
1,153.40514383382182,156.3305193821158,VET
2,143.9576728886516,123.62701867880358,HAM
3,224.47766894100582,228.00815516956925,VET
4,278.3307280295731,283.28589693558706,VET
5,277.652794531174,269.82277424944067,HAM
6,140.18624247954818,139.94155724496264,HAM
7,142.48602093958146,143.80714723010095,VET
8,136.993057932143,128.04303406424776,HAM
9,188.82636964486773,187.66255299644334,HAM
10,127.70948490845609,116.40864748603214,HAM
11,119.31969041196854,108.90706795879498,HAM
12,170.33062227277438,185.0630846992377,VET
13,264.4480412312534,270.86295572772053,VET
14,282.9460886817738,283.5606172012404,VET
15,147.62198755477812,138.07666364330908,HAM
16,202.60134898031748,177.7006875742897,HAM
17,174.99202713491968,191.10161451098094,VET
18,267.84736152540785,275.9682985691657,VET
19,288.9819136514533,295.7554751689907,VET
20,300.8903206836017,310.3046429520936,VET
21,308.94150971273984,318.0502484603509,VET
22,312.02751324444444,320.3006802938776,VET
23,314.0391086277879,322.6860978996826,VET
24,309.95197451130434,317.9925781845315,VET
