Minisector,GAS,SAI,Fastest
0,260.07992682041584,268.20942706484635,SAI
1,133.8301186252415,133.71672328771143,GAS
2,198.24884321185183,196.97786986625394,GAS
3,244.80516626694364,250.55561194794805,SAI
4,260.92454875930446,262.4729046692142,SAI
5,183.5162043280922,170.19850170181974,GAS
6,151.03673660301402,140.1378276764167,GAS
7,189.5786625954246,181.85961306219335,GAS
8,106.51034093675575,103.94951363904282,GAS
9,77.5245081030543,69.49911601046782,GAS
10,97.53906338288995,97.68562395155327,SAI
11,185.53902081204464,187.24250225724225,SAI
12,244.1138521943801,250.3649190938738,SAI
13,265.67684840869475,274.35495854731414,SAI
14,278.56726919797387,280.4912751035363,SAI
15,121.10980029274215,102.1353435820305,GAS
16,149.27762160313432,163.20144926901665,SAI
17,189.64868429473685,180.07492726825953,GAS
18,197.51080442300386,199.12314203124927,SAI
19,208.84366908545542,195.60726641384312,GAS
20,137.29074335196464,136.88151692005314,GAS
21,116.73430009413923,98.8947516578421,GAS
22,98.29407290187433,104.5595680724457,SAI
23,196.70968616240782,211.52134477939822,SAI
24,248.40126762325812,257.71760493054353,SAI
25,261.23333333333335,,GAS
