Minisector,LEC,HAM,Fastest
0,279.52151331787036,285.77155813075166,HAM
1,297.35149384355435,312.6885666682572,HAM
2,239.7331184327292,222.7061818509825,LEC
3,111.31612931935679,105.50370076283933,LEC
4,125.4054243210948,126.33115380558229,HAM
5,248.08890140395258,252.15920734222223,HAM
6,253.45526120128707,242.71311756874613,LEC
7,120.8774315091656,114.54082718797865,LEC
8,243.64512290250525,249.9196814929537,HAM
9,250.34399900711375,250.77195061938698,HAM
10,202.65520137937168,204.59706935496442,HAM
11,137.63609747780376,129.09470323550758,LEC
12,202.0863233763775,195.9869361970477,LEC
13,262.9336039797447,255.1236931552656,LEC
14,112.10544826143904,107.99083920645198,LEC
15,183.04068681124093,185.46048546623376,HAM
16,253.71062310466039,254.65484001892875,HAM
17,286.3155109323851,289.9600845823129,HAM
18,300.5506414409035,306.0513773886958,HAM
19,306.8629934736842,322.04071539835684,HAM
20,309.677027792,330.25435859064936,HAM
21,152.3887554490773,144.94541545589084,LEC
22,145.7398789720864,149.49464203359244,HAM
23,196.63056036596643,182.4866719601361,LEC
24,233.00245724458497,232.04220799015638,LEC
25,264.4,,LEC
