Minisector,NOR,ALB,Fastest
0,325.9578537876946,321.6347626181901,NOR
1,334.5781973586472,331.50020820444445,NOR
2,338.1851417150113,334.8788888335802,NOR
3,195.12510126690057,196.54248604772727,ALB
4,131.8287081748818,120.11796716569597,NOR
5,267.50074008683845,263.14706336620714,NOR
6,300.5990941473809,298.8375139490249,NOR
7,317.7474267574269,314.4347974890909,NOR
8,281.145386344127,291.62645579027287,ALB
9,146.98737126728892,139.83097573489022,NOR
10,229.08348523902643,225.25864370231898,NOR
11,234.78333921168314,214.91322691174733,NOR
12,209.0828739703266,194.7212452236539,NOR
13,273.0878974566397,262.9571177629073,NOR
14,308.33527398299054,302.01433049489174,NOR
15,325.2659672875863,321.3503347838845,NOR
16,269.6460819994111,279.47032364718865,ALB
17,223.24730491199597,204.1596865422902,NOR
18,282.1400654118518,274.7876960413416,NOR
19,312.9223168263045,307.0627753514244,NOR
20,326.17598102405105,323.70221016334756,NOR
21,315.6141597790476,313.4560704220551,NOR
22,215.26225605446493,199.47515635319903,NOR
23,271.38212206279945,259.72145215390475,NOR
24,310.1132922467219,300.63597366195086,NOR
25,,311.06541674666664,ALB
