Minisector,VER,TSU,Fastest
0,248.46670519966312,245.72491696294267,VER
1,292.79055456053976,276.5162979265203,VER
2,170.47493332466416,168.88001570842428,VER
3,166.09537005908962,150.89145042578136,VER
4,257.80134599599415,256.04534754812335,VER
5,264.8929823399553,255.53905837184266,VER
6,220.03553245025728,204.16444961057385,VER
7,191.33245164356126,191.3969828801001,TSU
8,155.80096034599833,150.06308280221808,VER
9,210.1155461247668,203.48493895778907,VER
10,270.73237983981556,267.63719444648723,VER
11,122.02328198342093,121.26000432023578,VER
12,208.13850446170892,208.44981213155555,TSU
13,277.00956527912166,273.1129163377778,VER
14,305.5258343995939,304.20003671641933,VER
15,322.1247780705096,319.5892689440936,VER
16,260.17072640678265,272.8977558047619,TSU
17,129.2582277575864,123.67065675734524,VER
18,132.60550069647334,125.06114087624296,VER
19,119.62975269663309,123.3242647080909,TSU
20,224.86420520634923,220.11198408164898,VER
21,250.88778507889876,246.43692681412958,VER
22,225.98578318444368,226.2680678365085,TSU
23,207.1087165762605,206.82352540560888,VER
24,135.4980324672097,130.80789841706329,VER
25,215.925,210.520832,VER
