Minisector,BOT,VET,Fastest
0,297.42065977777776,303.08879134986194,VET
1,299.57904550982323,305.45535524436804,VET
2,260.8453045253068,267.6160324533393,VET
3,155.81127886611688,151.30699393466523,BOT
4,176.00123826730922,165.43645259268655,BOT
5,217.29885057471265,209.4018435817512,BOT
6,239.30940094454783,238.8957956998122,BOT
7,217.20607553366176,208.03636354087294,BOT
8,268.20561445437926,258.472055351765,BOT
9,264.78623188405794,258.7319525912381,BOT
10,274.1897671620264,274.25838474865424,VET
11,278.5908472149417,278.53440769136586,BOT
12,275.3190379959962,277.95700853875206,VET
13,265.3284503735921,273.24200603532955,VET
14,181.93648679604843,170.0866474582658,BOT
15,238.9346711922035,232.28162793827082,BOT
16,210.89694410666667,213.57727236066162,VET
17,175.01756731512694,160.88111859763416,BOT
18,257.91289121111714,252.5336531223443,BOT
19,284.1012803029411,282.9041533315786,BOT
20,260.2932536126984,257.96454568883945,BOT
21,189.47614945396356,183.83773480122832,BOT
22,255.50686835954676,253.00454881375808,BOT
23,282.1098275558046,283.28860904912335,VET
24,293.77155798260867,297.56799258181815,VET
25,,302.3416661333333,VET
