Minisector,VER,NOR,Fastest
0,298.63083349333334,298.50590027203475,VER
1,203.15196910074783,202.91217446400003,VER
2,144.99549803518207,138.71396718134292,VER
3,219.49193858839826,215.93985595370242,VER
4,160.9564983822306,153.62336604933205,VER
5,181.80372858509423,183.54932876632995,NOR
6,251.00262405530864,253.88968286234976,NOR
7,276.9206582810961,277.6218777710044,NOR
8,285.0007986285714,285.15524323555553,NOR
9,249.75643128888888,252.67311622991875,NOR
10,244.22585399024774,242.46963718857145,VER
11,234.3926209382716,235.2926336023585,NOR
12,205.52603683451954,199.71111749779885,VER
13,140.4182685631169,135.7041376631579,VER
14,145.50813281426167,134.8577802697933,VER
15,182.59563393054944,189.73769613116943,NOR
16,251.25381513939192,261.7991087645037,NOR
17,234.57911940458553,220.73448057568618,VER
18,117.57260983385285,110.36861658845599,VER
19,198.66425416966183,208.78032145324406,NOR
20,194.3473861999829,187.78630357381516,VER
21,234.3564787116883,234.85806179386145,NOR
22,262.1437040458862,272.06540989993215,NOR
23,281.23391830291945,294.40074543696306,NOR
24,292.67084848,312.92542653712593,NOR
