Minisector,BOT,ERI,Fastest
0,284.78601239520214,284.5951243144697,BOT
1,258.74786816609424,250.17950319865471,BOT
2,275.2531876560854,269.8615266076234,BOT
3,280.15973419104336,285.71144227724864,ERI
4,135.25822159333632,128.81836353916816,BOT
5,210.95315632284513,209.51118704369236,BOT
6,266.2159702921674,266.5842792253424,ERI
7,287.8552565937721,296.06960759215684,ERI
8,296.92896188047285,312.1069377895003,ERI
9,300.99509020061737,319.5540960999183,ERI
10,277.8411443294487,291.4430235340368,ERI
11,100.49598661898544,100.27894819958944,BOT
12,223.8300730935058,219.03107739706473,BOT
13,273.63940308247396,275.4970768211096,ERI
14,273.84120258510586,274.24652477543793,ERI
15,135.35550602603155,129.72460526156533,BOT
16,215.35019891241546,202.00236842178816,BOT
17,263.0778864558997,257.3001067111874,BOT
18,259.3857403541403,246.5509001328143,BOT
19,250.55233379218598,239.35689983330226,BOT
20,152.48152445414914,143.54359856114434,BOT
21,191.99278572647378,186.45298675926338,BOT
22,188.1456455061967,170.8732147442748,BOT
23,201.8916632446017,182.87616134751684,BOT
24,257.60554044628424,247.0657726605516,BOT
25,,277.2,ERI
