Minisector,ALB,SAI,Fastest
0,292.21054207823937,292.73364991643257,SAI
1,288.62260857260895,297.7955676444444,SAI
2,168.95912632611834,171.94536959898744,SAI
3,230.32369308583918,234.58652511081192,SAI
4,274.77741268370926,276.43605044641197,SAI
5,292.07190049356285,292.54495629473683,SAI
6,297.6994362940032,298.4346509851588,SAI
7,156.88147205662418,170.13630023972942,SAI
8,142.44262237176224,145.9685532682809,SAI
9,253.00367557308834,252.9142012091742,ALB
10,282.16282675212364,281.6648504194737,ALB
11,286.0007042365915,293.3671297777778,SAI
12,147.83856605738765,157.0955092681809,SAI
13,206.44631515897436,211.58766186666665,SAI
14,262.2201303704534,264.82161757254215,SAI
15,209.4086229146739,219.61342536254577,SAI
16,229.52229609606627,238.74985921698695,SAI
17,221.7806659272749,235.7401841978697,SAI
18,252.18724009333332,253.75275017868478,SAI
19,277.11352590820627,277.14258614915246,SAI
20,290.6389446343567,291.55761991437527,SAI
21,267.4354158933333,275.4745821866667,SAI
22,230.01737242344223,237.98651403948526,SAI
23,217.28752638192182,224.16595629856945,SAI
24,269.84529814260316,271.11468347936506,SAI
25,,284.32500053333337,SAI
