Minisector,RIC,HUL,Fastest
0,297.68928604444443,297.3313663469979,RIC
1,245.5040835835883,243.30748314224755,RIC
2,201.7403957858785,203.0883333688889,HUL
3,264.71224907955815,265.47927476892016,HUL
4,237.48970175661375,232.75862025255734,RIC
5,118.80790112620134,115.28466206145907,RIC
6,178.52998909821372,177.7952211137255,RIC
7,257.2405807938511,254.7477819860229,RIC
8,288.29695540394687,285.5791668848485,RIC
9,301.75758959999996,299.76854650715666,RIC
10,305.51508932571426,305.67934676290724,HUL
11,230.4279406062395,225.4725548846722,RIC
12,149.27943225508412,144.99152790985426,RIC
13,254.6975939378882,254.90220506386422,HUL
14,287.82353436848194,287.28373035827667,RIC
15,298.07247090880253,297.81301940386464,RIC
16,291.7293651301587,294.39827484671287,HUL
17,256.139696987401,263.2341513208175,HUL
18,183.21212109090908,183.68568487307417,HUL
19,185.89420258539445,190.6465445878272,HUL
20,174.05398527603663,176.31013174434057,HUL
21,244.79094974554334,247.01146024527372,HUL
22,127.88199102122677,127.53043702018972,RIC
23,192.45448845247313,189.7967728069264,RIC
24,275.5666910920635,273.3311520502103,RIC
25,,288.59166719999996,HUL
