Minisector,NOR,RAI,Fastest
0,231.86819968288827,228.6174742210954,NOR
1,279.0918418872688,281.08186267375504,RAI
2,292.14883446349205,297.11371526349205,RAI
3,296.7467391536232,302.8531768858674,RAI
4,264.0022684425028,265.1508816818342,RAI
5,165.62567858604652,158.04119708053813,NOR
6,258.80512174806086,255.87379549316913,NOR
7,273.23141025641024,275.02638885925927,RAI
8,211.87182200702023,201.16930926312259,NOR
9,218.0730972375167,214.17951501546338,NOR
10,180.35035391043436,174.00593577846627,NOR
11,224.58461587631774,216.54081854147498,NOR
12,204.92032892121213,197.30187378284458,NOR
13,212.77749851348912,204.47999862857145,NOR
14,222.6118229862233,217.8505420711789,NOR
15,176.1844968968314,174.7735951283759,NOR
16,253.50333746019447,241.44283578231293,NOR
17,297.87693188124507,282.98193478187864,NOR
18,308.4591096447205,297.475666688,NOR
19,295.2791982158828,292.53696549104046,NOR
20,132.96667242575887,126.77294740790092,NOR
21,162.53680246564093,153.49714882942456,NOR
22,152.22916131028697,143.58859150230822,NOR
23,205.60751481591262,198.021630421703,NOR
24,148.07808205223557,141.0017204665274,NOR
25,185.46667093333332,,NOR
