Minisector,VER,HAM,Fastest
0,301.48541701333335,287.6416355368421,VER
1,313.3593136313725,300.21688617543856,VER
2,167.68039756444836,176.38266084923478,HAM
3,220.42409039963945,223.92565310068315,HAM
4,276.60148574969196,269.68036218568113,VER
5,299.7807020350877,287.88399141052633,VER
6,311.8822200245542,292.1257919921212,VER
7,185.74225458365117,185.4725486806,VER
8,124.03404157020553,127.47279880788251,HAM
9,245.7579182107342,246.63491706676746,HAM
10,280.55375029333334,278.7468744340957,VER
11,291.51269366602594,290.23934040429697,VER
12,154.34684584195625,159.79255273192808,HAM
13,190.27949240434143,190.53286094045293,HAM
14,257.59781785396825,257.896727909306,HAM
15,204.23243360005702,218.68130294423298,HAM
16,212.77358203608222,224.3155741169812,HAM
17,211.5725933425359,229.15844447435458,HAM
18,240.43376522221897,245.410984,HAM
19,276.13092115087716,274.07777812178546,VER
20,292.29946762105266,289.6304440963601,VER
21,262.28644589914444,274.15307272982454,HAM
22,222.21014432463767,237.53612557565967,HAM
23,202.8290743637752,202.07184464451927,VER
24,269.45145872,257.6222397270252,VER
25,,278.0527772444445,HAM
