Minisector,ALB,HAM,Fastest
0,306.8020739514375,297.9386930897697,ALB
1,186.55677398369554,191.11028546739345,HAM
2,227.1411014810778,221.35117552346784,ALB
3,277.819088274882,276.05022408310185,ALB
4,222.66232500717544,230.233514414499,HAM
5,121.97283342149167,126.09223347925712,HAM
6,201.8983610690866,201.34776556037002,ALB
7,246.10881875132088,239.28982662067978,ALB
8,218.17749403847745,231.11511804595472,HAM
9,225.05693505515876,213.30664717026738,ALB
10,273.0639277925433,271.8478118893571,ALB
11,291.83395343158264,289.9564301238515,ALB
12,307.90679753390276,302.4990933534945,ALB
13,322.8335815278638,316.7811191139785,ALB
14,327.5234353446626,320.5209567880164,ALB
15,233.01886451566682,260.17160714285717,HAM
16,224.46418146100015,228.40959283955374,HAM
17,282.30070926392756,280.43821314224937,ALB
18,300.0666021077444,300.21273559251466,HAM
19,141.66239256554505,146.82718862171959,HAM
20,192.9212365200085,199.39396463757723,HAM
21,148.0312816235612,185.0051857583818,HAM
22,132.1825662057824,123.60253034852722,ALB
23,242.60498045240857,230.14448901871813,ALB
24,297.2409812733359,292.07598127333586,ALB
25,314.14285714285717,312.6570906503715,ALB
