Minisector,BOT,TSU,Fastest
0,284.90979168,287.77412266666664,TSU
1,289.74861112865307,294.47543848421054,TSU
2,174.89635493333333,163.42377418039214,BOT
3,218.44904952421118,217.43884917414553,BOT
4,268.10392871619047,270.23452413968255,TSU
5,288.46754380350876,291.283333145098,TSU
6,289.4236911077918,298.04304467496087,TSU
7,177.27056571182794,175.80328379061206,BOT
8,122.33766052603069,118.25449108843748,BOT
9,245.9384930668759,245.1386277932976,BOT
10,281.5187752682078,285.205184044883,TSU
11,289.055044154386,302.127632,TSU
12,148.4255440496996,142.33088776979602,BOT
13,190.69613108571428,185.73524589931975,BOT
14,252.64642854603176,256.51861398329254,TSU
15,208.39737622286296,206.20401157530864,BOT
16,212.217787654807,202.05265806301597,BOT
17,217.07882164762978,204.95110801867315,BOT
18,242.10032454372293,239.06893395011338,BOT
19,272.81418561048685,275.0146823933411,TSU
20,289.50865006988516,295.212955222409,TSU
21,268.8737499733333,256.19734913939396,BOT
22,228.02980050047552,214.06047725989143,BOT
23,203.2070704151324,199.37451934358975,BOT
24,260.54412883364995,262.8503764415678,TSU
