Minisector,LEC,GAS,Fastest
0,290.48054608911116,290.2564982412954,LEC
1,299.8024726189569,300.5311358138349,GAS
2,297.33171841664563,295.48003282337,LEC
3,185.77186530000267,190.2243417346263,GAS
4,208.70338687512765,209.33516506024026,GAS
5,204.14827123189121,203.07252321966226,LEC
6,264.1331845638095,263.61587202255646,LEC
7,263.6907192367847,258.53737653024154,LEC
8,216.9128623056555,211.26129785363287,LEC
9,212.96102454567597,211.65673651296456,LEC
10,141.430639933722,144.63500823968468,GAS
11,199.09319659532466,205.21696743833107,GAS
12,192.58900524614032,187.32084694326716,LEC
13,254.0196806373394,253.07187452623322,LEC
14,180.60212389879763,181.45930433786535,GAS
15,234.74798105846153,231.39620934714557,LEC
16,278.2377867154051,279.4720244792381,GAS
17,289.69955029671956,285.41227277035347,LEC
18,285.5642610241441,275.8838807768819,LEC
19,276.4688979420451,265.46117455085715,LEC
20,269.3064341862434,259.57806099255413,LEC
21,266.9167590282244,259.59451868400276,LEC
22,246.22720590489334,235.89800020305756,LEC
23,209.59375618306964,207.79136376377093,LEC
24,267.93481297850343,267.15647068935834,LEC
25,,281.94499968,GAS
