Minisector,NOR,BOR,Fastest
0,276.7919076738047,273.063454228872,NOR
1,304.9420166385331,296.3483473389356,NOR
2,326.828500288,309.33855545060266,NOR
3,337.64786259369316,316.08103830316287,NOR
4,342.8985161717223,319.6095555555556,NOR
5,332.93226994285715,321.504375,NOR
6,199.20517228281903,208.9484290406163,BOR
7,104.99104154798648,105.93139140948496,BOR
8,184.7313488740736,187.64008112873134,BOR
9,265.0740521592053,257.3778359360512,NOR
10,296.8272424242017,289.18706104190477,NOR
11,174.6294152588297,171.35740549635648,NOR
12,94.19385986891909,98.94741111790535,BOR
13,113.74860598104249,114.96813084254147,BOR
14,219.49370758023755,222.15911054307568,BOR
15,187.55972817299443,188.75928850113493,BOR
16,216.14825559706287,224.1268653666507,BOR
17,177.1368171376837,182.5533976448267,BOR
18,241.12307072593526,229.00708616780042,NOR
19,279.12743056911296,274.5816176470588,NOR
20,240.69177118423744,247.09188091299978,BOR
21,147.56759118032193,149.34345814902747,BOR
22,96.67633837765844,94.79904448412171,NOR
23,124.56959279406766,122.90267133576349,NOR
24,233.48297097396065,215.85395851594203,NOR
25,,254.91354266666667,BOR
